record_id,ca_volume,doc_id,scan,ia_url,author,recipient,place,date,scan_pin,orig_page,savage_page,summary_fidelity,omissions,note
ca1-d170,1,170,n329–n330,https://archive.org/details/168036075_79_3_2/page/n329,OK,NA,OK,OK,OK,OK,OK,OK,OK,"Read leaves n329 (stamp 328, pencil 41) and n330 (stamp 329, pencil 42) of 168036075_79_3_2. Heading verbatim: '1778 - Marzo 9 - El Pardo. (España). / El Rey y su Ministro Antonio Ventura de Taranco, sobre donativos piadosos.' Body verbatim confirms every element of the abstract: 'Cédula que previene que están autorizados para recojer donativos piadosos en los reinos de España y Dominios de Yndias, con escepcion de las Yslas de Puerto Rico, S.to Domingo, Trinidad, Margarita, Filipinas y el Reino de Guatemala, los apoderados del Abad y Cabildo de la Yglesia de Santa Maria la Real de Cobadonga, en el principado de Asturias, España, cuyos donativos se destinarán á la reconstruccion de aquel santuario, que fue casi demolido por la catástrofe del 12 de Octubre del año de 1777.' Recipient NA: a royal cédula with no addressee in Savage's heading (the leaf only notes it was sent in copy 'al Gob. de Neve, por Antonio de Bonilla'). orig_page: the document's foot-cite on n330 reads 'pp. 338-44', which the record carries verbatim as '(Sav: pp.338–344)'; the leading 'T.II 336–342' is an editorial reconciliation applied consistently across this stretch (d166–d175 all run Savage minus 2) and cannot be checked at the leaf. savage_page 328–329 = the printed stamps. Omissions: n329 carries only the tail of d169 (foot 'p.337-') and this document; n330 carries this tail plus d171 and the opening of d172 — all catalogued."
ca2-d22,2,22,n23,https://archive.org/details/168036075_79_4_2/page/n23,OK,OK,OK,OK,OK,OK,OK,PARTIAL,OK,"Read leaf n23 (stamp 23, pencil 22) of 168036075_79_4_2. Second document on the leaf, verbatim: '1782 = Agosto 13 = S. Gabriel. / Felipe de Neve á Nicolas Soler / Se acompaña tres estractos de revistas; dos de Monterey correspondientes á Junio y Julio, y otro de Santa Bárbara perteneciente á Julio. Que tambien le manda una Representacion p.a q.e le informe como previene / p 48.' Author, recipient, place, date, orig p.48 and savage stamp 23 all match. summary_fidelity PARTIAL: the revista clause is exact, but the record's 'asks a Representación as prescribed' reverses the direction of the second clause — the leaf says Neve SENDS Soler a representación ('le manda una Representacion') so that Soler reports on it ('p.a q.e le informe como previene'). Omissions: n23 carries two documents, the 4 Aug despacho de Alférez for Hermenegildo Sal (= d21) and this one; both catalogued."
ca2-d350,2,350,n480,https://archive.org/details/168036075_79_4_2/page/n480,OK,OK,OK,OK,OK,OK,OK,WRONG,OK,"Read leaf n480 (stamp 476, hand 142) of 168036075_79_4_2, first document. Heading verbatim: '1784. - Junio 30 - S.ta Barb.a / Goicoechea á Fages, sobre abono á la Real Hacienda.' Author/recipient/place/date all match; foot-cite 'p. -326.-' and the hand page '142' both match orig_page 'p.IV 142 (p.326)'; stamp 476 matches savage_page. summary_fidelity WRONG on the sum: the leaf reads 'Acusa recibo de la carta de 3 de Junio, en la que se le dice debe abonarse á esa Habilitacion la cantidad de 203 pesos 6 r.s 11/12 g.s perten.tes á la Real Hac.a y los que deberán rebajarse en Thesoreria de esa comp.a' — i.e. 203p 6r 11/12g, not the catalogued '203p 3r 4½g'. Confirmed at scale=1 with a 3x crop: the reales digit is a looped 6 and the fraction is an unambiguous superscript 11 over 12. The record's direction is also loose (the sum is to be credited TO that habilitación, pertaining to the Real Hacienda, and deducted in that company's Tesorería). Omissions: n480 carries two documents (this and d351); both catalogued."
ca3-d82,3,82,n87,https://archive.org/details/168036075_79_5_2/page/n87,OK,OK,PARTIAL,OK,OK,OK,OK,WRONG,OK,"Read leaf n87 (stamp 88, pencil 87) of 168036075_79_5_2, second document. Heading verbatim: '1784 Junio 18 Loreto. / José J. de Arrillaga á Pedro Fages / Sobre observancia de Alcabalas'. Date, recipient, foot-cite 'p. 178' (= orig v.178) and stamp 88 (the ca3 convention — n120 stamp 121/hand 120 is catalogued 121, n87 stamp 88/hand 87 is catalogued 88) all match. place PARTIAL: the leaf states 'Loreto', which the record carries only inside the author string 'Arrillaga (Loreto)', leaving the place field blank. summary_fidelity WRONG on two data points: the leaf reads 'Previniendo de los 28 documentos de Alcabalas su observancia segun advierte en oficio de 9 de Dic.re de 83' — TWENTY-EIGHT, not the catalogued 22 (verified on a scale=1 crop; the second digit is a clear 8) — and the index's compiler is 'el Cap.n Ramon Oñate' (tilde visible over the n), not 'Ramón Ortega[?]'. The '(nos.1–25)' element is right: 'los q.e existian en el sur que son del N.o 1. al 25.' Omissions: n87 carries the tail of d81 (foot 'p.177'), this document, and the opening of d83 ('Publicacion de R.l Cedula'); all catalogued."
ca3-d196,3,196,n166,https://archive.org/details/168036075_79_5_2/page/n166,OK,OK,PARTIAL,OK,OK,OK,WRONG,OK,OK,"Read leaf n166 of 168036075_79_5_2, second document. Heading verbatim: '1785 Agosto 9 Sta Barbara / Felipe de Goicoechea á Pedro Fages. / Sobre vigilancia en la Conducta moral de los Indios'. Body: 'Dice: que queda impuesto por su oficio de 2 de Junio ultimo de celar con la mayor vigilancia de los individuos que se hallan bajo sus ordenes, quedando advertido al que contravenga que se le impondrá la mas rigorosa pena. Quedando advertidos los Sarjentos y Cabos de esta vigilancia, sin el menor disimulo, por que serán comprehendidos en la misma pena.' Foot-cite reads 'p. 334 = 335.' — so the out-of-sequence orig_page 'v.334–335' is Savage's own and is recorded correctly (not the transposition it looks like). savage_page WRONG: the printed stamp at the head of n166 is 164 (pencil 163 above it, verified on a magnified crop); the record's 163 is the pencil foliation, contrary to this volume's own convention — n87 is catalogued 88 (stamp) not 87, n120 is catalogued 121 (stamp) not 120, and the very next leaf n167 (stamp 165 / pencil 164) is catalogued 165. The defect also affects d193–d195. place PARTIAL: 'Sta Barbara' is on the leaf but recorded only as '(SB)' inside the author field. Omissions: n166 carries two documents (d195, d196), both catalogued."
ca3-d483,3,483,n449–n454,https://archive.org/details/168036075_79_5_2/page/n449,OK,OK,PARTIAL,OK,OK,OK,OK,OK,OK,"Read all six leaves n449–n454 of 168036075_79_5_2 (stamps 442, 443, 445, 446, 447 verified plus n451; hand foliation restarts for tomo VI at 184). Opening on n449 verbatim: '1786. Febrero 24. San Diego / El Ayudante Ynspector Soler al Gob.r Fages sobre desórdenes causados por dar libre entrada en los Presidios á indios gentiles con sus mugeres. / Estimado Compadre y señor:...'. Ends on n454 with 'pp. 371_374.' = orig_page vi.371–374, immediately followed by the next document (1786 Oct 6, Monterrey = d484), so the n449–n454 pin and the 442–447 stamp range are both exact. Summary verified point by point: the illness and transfer on n452 ('mi accidente, que permanece en el estado que Vm. me dejó... me propuso trasladarme á este Presidio, dejando libre la habitacion de Sta Bárbara'); the SB friction on n453 ('Los desarreglos advertidos en Santa Bárbara han ocasionado el disgusto que Vm. me significa'); and Savage's embedded-borrador note on n452, verbatim: '(En este mismo documento se encuentra escrita en borrador una nota sin firma, y sin direccion y fecha; pero que, por su contexto, puede suponerse que fué escrita por Fages en respuesta á la de Soler, que literalmente dice:)'. place PARTIAL: 'San Diego' is on the leaf but recorded only inside the author string. Omissions: the tail of d482 on n449 and the head of d484 on n454 are both catalogued."
ca4-d330,4,330,n269,https://archive.org/details/168036075_79_6_2/page/n269,OK,PARTIAL,OK,OK,OK,OK,OK,OK,OK,"Read leaf n269 (stamp 269, hand 84) of 168036075_79_6_2, first document. Verbatim: '1788 Febr.o 25 S.n Fran.co / Argüello á Fages   Remision de Inventarios / Acompaña el Inventario de los enseres de esta Habilitacion firmado por los Apoderados de d.ha Comp.a; assimismo el Inventario de los bienes del reo Fran.co Avila en el pueblo de San José, los q.e conserva su Apoderado Ramon Bozorques - / p. 248'. The record's quoted string matches the leaf letter for letter, including 'Bozorques'; place, date, orig p.248 and the dual savage_page '269 [stamp] / 84 [hand]' are all exact. recipient PARTIAL: the leaf names Fages as addressee, and the record carries him only inside the author field ('Argüello á Pedro Fages'), leaving recipient blank. Omissions: n269 carries three documents (this, d331 'Arresto de un Soldado' p.249, and the opening of d332 'sobre un pleito'); all three are catalogued."
ca4-d446,4,446,n206-n211,https://archive.org/details/168036075_79_6_2/page/n206,OK,PARTIAL,OK,OK,OK,OK,PARTIAL,OK,OK,"Read all six leaves n206–n211 of 168036075_79_6_2. Heading on n206 matches the record word for word: '1788 Abril 7 - San Gabriel / Fages = Ordenes grales que debe observar el Sargento encargado de la Escolta de la nueva Mision de la Purísima Concepcion'. The opening article and every quoted article were checked against the leaves and are accurate (n207: 'que por ningun motivo se les den belduques, aros de barril, pedazos de espadas ni otros instrumentos de que hacen armas' — the record spells it 'beldueques', a one-letter slip in an otherwise exact quotation; also 'ocho dias de Planton haciendo primas y modorras con cuatro cueras, pero si fuere por las Indias, ó que las solicite en el campo se le doblará la pena'; n208: 'ocho dias en el cepo, y quince si las mataren... por la primera se les castiga con piedad, pero que si reinciden seran tratados con mayor rigor' and 'Debe mantenerse centinela viva de dia y de noche, así como la caballada y ganado bajo de pastoría y vela'; n210: 'dos ó tres hombres de escolta', 'No tiene facultad el Sarg.to para destacar partidas en solicitud de Indios cimarrones', the Laguna Larga mail-road article, and 'que no se maltrate á los Indios en manera alguna sino fuere en la forzosa precision de que nos insulten con sus armas'; n211 closes with the correos/cambalache/San Luis recua articles and the foot-cite 'pp. 67-76'). orig_page therefore exact; the six-leaf pin is exact and the text is continuous. savage_page PARTIAL: all six stamp/hand pairs are right (206/21, 207/22, 208/23, 209/24, 210/25, 211/26, each verified on a magnified crop), but the annotation 'n209 ... (not opened)' is contradicted by the leaf — n209 serves fully and legibly and carries continuous text of this same instruction ('Hará el Sargento entender á la tropa que es precisa obligacion contribuir con su trabajo á la fábrica de la Yglesia, habitacion de los P.P. y á la de la Guardia...'). recipient PARTIAL: the addressee (the sergeant of the Purísima escolta) is recorded only inside the author field. Two further observations, neither an omission: Savage appends a note the record does not mention, verbatim on n211, '(El documento que precede está intercalado y repetido de la página 71 á la 74.)'; and catalogue record ca3... rather ca4 d261 independently claims n208–n210 for a different document ('Tomo-VIII copy', orig p.23–25, dated 1787-01-11), which those leaves do not contain — a mis-pinned neighbour, i.e. over-catalogue, not an uncatalogued document."
ca5-d56,5,56,n99,https://archive.org/details/168036075_79_7/page/n99,OK,OK,OK,OK,OK,OK,OK,OK,OK,"Read leaf n99 (stamp 98, hand 96) of 168036075_79_7, middle document. Verbatim: '1789. Mayo (no tiene fecha) Monterey / Ortega á Fages. / Dice, envia estractos de revistas y Estados de fuerza del presente mes de Mayo. / p. 150.' Author, recipient, place Monterey, the month-only date 1789-05 with Savage's own '(no tiene fecha)' flag, orig p.150 and the dual savage_page 98/96 are all confirmed at the leaf. The record's observation that this is the only non-Goycoechea, non-Santa-Bárbara item in the stretch is also true of the leaf: the documents above and below it are both '1789 - Febr.o 27 - Santa Bárbara / Goycoechea á Fages'. Omissions: n99 carries three documents (d55 'escudo de Ventaja á un sold.o' p.148, this one, and d57 'remision de estracto de un soldado'); all catalogued."
ca5-d190,5,190,n191,https://archive.org/details/168036075_79_7/page/n191,OK,OK,OK,OK,OK,OK,OK,OK,OK,"Read leaf n191 (stamp 190, hand 188) of 168036075_79_7, first document. Verbatim: '1790 - Dic.re 1 - Santa Barbara / Goycoechea á Fages: Sobre un Soldado. / Dice que pasará à las Sup.res manos la instancia del Sold.o Juan Seyba / p. 336.' Every field matches the leaf, including the heading gloss and the quoted sentence in the summary, the soldier's name as Savage spells it ('Juan Seyba'), orig p.336 and the dual savage_page 190/188. Omissions: n191 carries three documents (this, d191 'Extractos de Revista, y estados de fuerza' p.337, and d192 'Ajuste de un Sold.o' p.338); all three are catalogued."
