ca_volume,doc_id,granularity,scan,orig_page,tomo_leaf,savage_page,year,doc_date,date_text,date_confidence,author,recipient,place,people,places,themes,source_type,doc_type,detail,rating,ia_url,tomo,series,archive,summary,verified,cite
1,1,item,n1–n3,1–3,,2–4,1767,1767-11-03,1767-11-03,exact,Thomas Ortiz de Landázuri (Madrid) / Rl Tribunal de Cuentas,Pedro Toral Valdés (Contador Gral. de Rl Hacienda y Guerra),México,,,catalan-volunteers; fiscal; sonora-expedition; founding,verbatim transcription,verbatim,,0,https://archive.org/details/168036075_79_3_2/page/n1,I–II,Provincial State Papers,BANC MSS C-A 1,"Expediente fiscal de la Compañía Franca de Voluntarios de Cataluña (1er Batallón, 2º Regto. de Infª ligera) destinada a la expedición de Sonora — toma de razón en Madrid (22 Jul 1767) de abonos a 2 oficiales (476 p 5 r 9 mrs) + raciones de vino de las 100 plazas; desquentos de prest/inválidos; embarque en Cádiz (fragata *Juno* + urca *San Juan*); Cap. Agustín Callis",,"Provincial State Papers, MS, p. 1–3, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 2–4 (original destroyed 1906; digitized scan n1–n3)"
1,2,item,n4–n5,4–5,,5–6,1768,1768-10-16,1768-10-16,exact,José de Gálvez (Visitador Gral.),Pedro Fages (en La Paz),Real de Santa Ana (B. Cal.),,,sacred-expedition; galvez; fages; baja-california; logistics,Savage abstract,abstract,,0,https://archive.org/details/168036075_79_3_2/page/n4,I–II,Provincial State Papers,BANC MSS C-A 1,"Órdenes en vísperas de la Expedición Sacra — paquebotes de San Blas, un buque varado en Agua Verde, el estanco de tabaco (no venderlo), pólvora de Bastida y su almacenaje",,"Provincial State Papers, MS, p. 4–5, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 5–6 (original destroyed 1906; digitized scan n4–n5)"
1,3,item,n6,6,,7,1787,1787-05-10,1787-05-10,exact,José Joaquín de Arrillaga,Jacobo Ugarte y Loyola (Comte. Gral. de Provincias Internas),Loreto (B. Cal.),,,structural; arrillaga; ugarte-loyola; dossier-1787; provenance,Savage abstract,abstract,,0,https://archive.org/details/168036075_79_3_2/page/n6,I–II,Provincial State Papers,BANC MSS C-A 1,⚑ Nota-índice de remesa: Arrillaga remite copias de 'varios documentos que se mencionan á continuación' — cabecera del dosier de 1787 que introduce la serie de edictos/órdenes fundacionales que siguen (explica el material posterior encuadernado),,"Provincial State Papers, MS, p. 6, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 7 (original destroyed 1906; digitized scan n6)"
1,4,item,n6–n7,6–7,,7–8,1768,1768-11-02,1768-11-02,exact,"José de Gálvez (Visitador Gral., comisionado del Virrey Marqués de Croix)",,Real de Santa Ana (B. Cal.),,,manila-galleon; contraband-edict; galvez; commerce; baja-california; founding,verbatim transcription,verbatim,,1,https://archive.org/details/168036075_79_3_2/page/n6,I–II,Provincial State Papers,BANC MSS C-A 1,"Edicto Prohibitivo al galeón de Filipinas — prohíbe a naturales y moradores del Sur de la California todo trato y comercio (gamuzas de cuero de venado, efectos) con la Nao de Filipinas cuando arriba a la Misión de San José del Cabo; pena de perder efectos y géneros; manda a las misiones de San José y Santiago proveer víveres a la Nao. Autorizado ante el escribano habilitado José de Andino",,"Provincial State Papers, MS, p. 6–7, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 7–8 (original destroyed 1906; digitized scan n6–n7)"
1,5,item,n7–n8,7–8,,8–9,1774,1774-01-02,1774-01-02?,inferred,Felipe Barry,Joaquín Cañete,Loreto (B. Cal.),,,manila-galleon; barry; canete; bucareli; commerce,Savage abstract,abstract,,0,https://archive.org/details/168036075_79_3_2/page/n7,I–II,Provincial State Papers,BANC MSS C-A 1,"Sobre la orden del Virrey Bucareli (5 ó 9 Ago 1773, recibida 30 Dic 1773) prohibiendo suministrar víveres a la Nao de Filipinas por un simple documento; en casos urgentes una junta debe calificar la necesidad o proceder la paga; remite dos ejemplares del bando. ⚠ Savage encabeza '1773 En.º 2' pero las órdenes citadas (ago/dic 1773) implican 1774",,"Provincial State Papers, MS, p. 7–8, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 8–9 (original destroyed 1906; digitized scan n7–n8)"
1,6,item,n8,8,,9,1774,1774-10-21,1774-10-21,exact,Felipe Barry,Joaquín Cañete,Presidio de Loreto (B. Cal.),,,manila-galleon; barry; canete; troop-deployment; commerce,Savage abstract,abstract,,0,https://archive.org/details/168036075_79_3_2/page/n8,I–II,Provincial State Papers,BANC MSS C-A 1,"Ante la venida próxima de la Nao de Filipinas, ordena apostar oportunamente la tropa en San José del Cabo para evitar los excesos del año anterior; prohíbe todo comercio, embarque o desembarco de géneros con la nao; hace a Cañete responsable so pena de responder en México; PD reitera el mandato virreinal de 5 Ago 1772 sobre no suministrar víveres sin junta calificadora o paga",,"Provincial State Papers, MS, p. 8, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 9 (original destroyed 1906; digitized scan n8)"
1,7,item,n9,9,,10,1775,1775-01-11,1775-01-11,exact,Felipe Barry,Joaquín Cañete,Loreto (B. Cal.),,,manila-galleon; church-asylum; justice; indian-governor; barry; disease,Savage abstract,abstract,,1,https://archive.org/details/168036075_79_3_2/page/n9,I–II,Provincial State Papers,BANC MSS C-A 1,"Acusa recibo; la Nao de Filipinas llegó el 18 Dic; las órdenes 'no hay quien las haga cumplir' — inobediencia manifiesta, da cuenta al Virrey a cargo de Cañete; reprende que no informó de la salida, del desembarco de 50 enfermos (posible enfermedad 'pestilente ó contagiosa'), ni de la lancha salida de La Paz a Mazatlán con reales y platas; noticia de la lancha *San Juan Nepomuceno* y de la *Lauretana* desaparecida. ⚑ Asilo eclesiástico: los reos Juan Antonio Guaynamota y el Indio Gobernador de Todos Santos refugiados 'al Sagrado' no se extraen ni se les toma declaración — se les vigila para prenderlos si salen y luego seguirles causa",,"Provincial State Papers, MS, p. 9, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 10 (original destroyed 1906; digitized scan n9)"
1,8,item,n9–n10,9–10,,10–11,1775,1775-10-24,1775-10-24,exact,Felipe de Neve (Gob.),Joaquín Cañete,Loreto (B. Cal.),,,manila-galleon; neve; canete; contraband; governor-transition,Savage abstract,abstract,,1,https://archive.org/details/168036075_79_3_2/page/n9,I–II,Provincial State Papers,BANC MSS C-A 1,1ª aparición de Neve — continúa el régimen anticontrabando de la Nao: Cañete irá a San José del Cabo hasta Dic a recibir el buque; no permitir saltar en tierra a la tripulación salvo enfermos con reconocimiento y registro; todo lo desembarcado (aun tinajas de aguada de los Padres) debe registrarse; prohíbe a los vecinos de la costa pasar a Sonora durante la estancia de la nao para evitar fraudes,,"Provincial State Papers, MS, p. 9–10, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 10–11 (original destroyed 1906; digitized scan n9–n10)"
1,9,item,n11,11,,12,1775,1775-08-16,1775-08-16,exact,Felipe de Neve,Joaquín Cañete,Loreto (B. Cal.),,,manila-galleon; neve; canete,Savage abstract,abstract,,0,https://archive.org/details/168036075_79_3_2/page/n11,I–II,Provincial State Papers,BANC MSS C-A 1,"Orden de pasar a San José del Cabo para estar allí cuando llegue la Nao de Filipinas, reiterando las disposiciones de la Superioridad comunicadas antes de orden del Virrey. ⚠ Savage lo coloca fuera de orden (ago va tras oct)",,"Provincial State Papers, MS, p. 11, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 12 (original destroyed 1906; digitized scan n11)"
1,10,item,n11,11,,12,1776,1776-01-24,1776-01-24,exact,Felipe de Neve,Joaquín Cañete,Loreto (B. Cal.),,,manila-galleon; neve; canete; invalid-soldiers,Savage abstract,abstract,,0,https://archive.org/details/168036075_79_3_2/page/n11,I–II,Provincial State Papers,BANC MSS C-A 1,"Acusa recibo del aviso de llegada de la Nao de Filipinas, del refresco dado a las misiones y lo remunerado; dos soldados licenciados y el cocinero quedaron en tierra enfermos — que convalecidos se destinen a la Provincia para pasarlos a la costa de Sonora en primera ocasión",,"Provincial State Papers, MS, p. 11, Archives of California, BANC MSS C-A 1, Bancroft Library, University of California, Berkeley; Savage transcript p. 12 (original destroyed 1906; digitized scan n11)"
